carbon,WIPv8,Precip,TWI,DTW,slope,MHCLASS,StudyArea,HGM,MHCLASS_FACT,HGM_FACT
163.2836025,0.2,1823,4.4485302,1.24178,7.6216202,RIV,MASH,UPL,3,1
190.5026618,0.785,1954,7.74336,0.494033,4.21316,RIV,MASH,DEP,3,2
193.8028915,0.43,1535,12.0902004,74.9746017,1.19166,WET,MASH,UPL,2,1
223.0506979,0.87,2056,10.0802002,0.93928,4.5623899,RIV,MASH,UPL,3,1
230.2603972,0.83,1754,10.9622002,0.712218,2.3086901,RIV,MASH,UPL,3,1
235.0379739,0.38,2110,5.0777998,0,30.6898003,RIV,MASH,UPL,3,1
244.3079786,0.045,1638,6.64255,47.8381004,2.3821001,UPL,MASH,DEP,1,2
247.5217671,0.16,2275,3.8145499,1.25253,11.5031004,RIV,MASH,UPL,3,1
258.2761314,0.72,2049,5.2868099,0,5.6145201,RIV,MASH,RIV,3,3
270.867218,0.03,1981,5.4655399,42.1767998,2.1005299,UPL,MASH,UPL,1,1
285.3866671,0.76,1954,4.2805901,1.09319,7.2246099,RIV,MASH,UPL,3,1
382.1064846,0.105,1754,7.28723,13.5193005,3.9258001,UPL,MASH,UPL,1,1
385.2439908,0.7,1754,11.9975004,13.7543001,0.760835,WET,MASH,DEP,2,2
401.6584544,0.305,2275,6.3687801,115.0530014,5.60006,WET,MASH,DEP,2,2
436.579292,0.485,2056,6.7764001,129.1419983,3.7084601,WET,MASH,DEP,2,2
443.6134156,0.76,1954,10.0684996,6.7372298,1.87437,WET,MASH,DEP,2,2
445.5579628,0.34,1935,5.5637698,37.3986015,4.2339401,WET,MASH,UPL,2,1
455.5319291,0,2463,4.1403599,100.5250015,28.2966995,UPL,MASH,UPL,1,1
475.6515358,0.16,2056,7.3583102,29.2014999,21.4274998,UPL,MASH,UPL,1,1
510.9149723,0.47,2056,5.7227602,166.7960052,1.6471601,WET,MASH,UPL,2,1
511.5423124,0.02,2275,5.36835,51.5821991,14.3905001,UPL,MASH,UPL,1,1
563.9322941,0.82,1981,4.6579599,11.8600998,2.34729,WET,MASH,DEP,2,2
632.3561744,0.395,2049,11.4509001,3.3743899,6.9818501,WET,MASH,UPL,2,1
1126.723423,0.825,2049,13.0815001,1.98959,1.69521,WET,MASH,DEP,2,2
1174.460958,0.87,1981,14.0623999,25.3201008,0.895225,WET,MASH,DEP,2,2
1219.763427,0.945,2049,8.1835203,0.827379,1.95008,WET,MASH,DEP,2,2
